index,country,market_or_index,suffix,delay,data_provider,isocode,_asof_datetime
0,United States of America,Chicago Board of Trade (CBOT),CBT,10 min,ICE Data Services,US,2023-05-01
1,United States of America,Chicago Mercantile Exchange (CME),CME,10 min,ICE Data Services,US,2023-05-01
2,United States of America,Dow Jones Indexes,,Real-time,ICE Data Services,US,2023-05-01
3,United States of America,Nasdaq Stock Exchange,,Real-time,ICE Data Services,US,2023-05-01
4,United States of America,ICE Futures US,NYB,30 min,ICE Data Services,US,2023-05-01
5,United States of America,New York Commodities Exchange (COMEX),CMX,30 min,ICE Data Services,US,2023-05-01
6,United States of America,New York Mercantile Exchange (NYMEX),NYM,30 min,ICE Data Services,US,2023-05-01
7,United States of America,Options Price Reporting Authority (OPRA),,15 min,ICE Data Services,US,2023-05-01
8,United States of America,OTC Bulletin Board Market,,Real-time,ICE Data Services,US,2023-05-01
9,United States of America,OTC Markets Group,,15 min,ICE Data Services,US,2023-05-01
10,United States of America,S & P Indices,,Real-time,ICE Data Services,US,2023-05-01
11,Argentina,Buenos Aires Stock Exchange (BYMA),BA,30 min,ICE Data Services,AR,2023-05-01
12,Austria,Vienna Stock Exchange,VI,15 min,ICE Data Services,AT,2023-05-01
13,Australia,Australian Stock Exchange (ASX),AX,20 min,ICE Data Services,AU,2023-05-01
14,Belgium,Euronext Brussels,BR,15 min,ICE Data Services,BE,2023-05-01
15,Brazil,Sao Paolo Stock Exchange (BOVESPA),SA,15 min,ICE Data Services,BR,2023-05-01
16,Canada,Canadian Securities Exchange,CN,Real-time,ICE Data Services,CA,2023-05-01
17,Canada,NEO Exchange,NE,Real-time,ICE Data Services,CA,2023-05-01
18,Canada,Toronto Stock Exchange (TSX),TO,Real-time,ICE Data Services,CA,2023-05-01
19,Canada,TSX Venture Exchange (TSXV),V,Real-time,ICE Data Services,CA,2023-05-01
20,Chile,Santiago Stock Exchange,SN,15 min,ICE Data Services,CL,2023-05-01
21,China,Shanghai Stock Exchange,SS,30 min,ICE Data Services,CN,2023-05-01
22,China,Shenzhen Stock Exchange,SZ,30 min,ICE Data Services,CN,2023-05-01
23,Czech Republic,Prague Stock Exchange Index,PR,20 min,ICE Data Services,CZ,2023-05-01
24,Denmark,Nasdaq OMX Copenhagen,CO,Real-time,ICE Data Services,DK,2023-05-01
25,Egypt,Egyptian Exchange Index (EGID),CA,20 min,ICE Data Services,EG,2023-05-01
26,Estonia,Nasdaq OMX Tallinn,TL,Real-time,ICE Data Services,EE,2023-05-01
27,Europe,Euronext,NX,15 min,ICE Data Services,,2023-05-01
28,Finland,Nasdaq OMX Helsinki,HE,Real-time,ICE Data Services,FI,2023-05-01
29,France,Euronext Paris,PA,15 min,ICE Data Services,FR,2023-05-01
30,Germany,Berlin Stock Exchange,BE,15 min,ICE Data Services,DE,2023-05-01
31,Germany,Bremen Stock Exchange,BM,15 min,ICE Data Services,DE,2023-05-01
32,Germany,Dusseldorf Stock Exchange,DU,15 min,ICE Data Services,DE,2023-05-01
33,Germany,Frankfurt Stock Exchange,F,15 min,ICE Data Services,DE,2023-05-01
34,Germany,Hamburg Stock Exchange,HM,15 min,ICE Data Services,DE,2023-05-01
35,Germany,Hanover Stock Exchange,HA,15 min,ICE Data Services,DE,2023-05-01
36,Germany,Munich Stock Exchange,MU,15 min,ICE Data Services,DE,2023-05-01
37,Germany,Stuttgart Stock Exchange,SG,15 min,ICE Data Services,DE,2023-05-01
38,Germany,Deutsche Boerse XETRA,DE,15 min,ICE Data Services,DE,2023-05-01
39,Global,Currency Rates,=X,Real-time,ICE Data Services,,2023-05-01
40,Greece,Athens Stock Exchange (ATHEX),AT,15 min,ICE Data Services,GR,2023-05-01
41,Hong Kong,Hong Kong Stock Exchange (HKEX)***,HK,15 min,ICE Data Services,HK,2023-05-01
42,Hungary,Budapest Stock Exchange,BD,15 min,ICE Data Services,HU,2023-05-01
43,Iceland,Nasdaq OMX Iceland,IC,Real-time,ICE Data Services,IS,2023-05-01
44,India,Bombay Stock Exchange,BO,Real-time,ICE Data Services,IN,2023-05-01
45,India,National Stock Exchange of India,NS,Real-time**,ICE Data Services,IN,2023-05-01
46,Indonesia,Indonesia Stock Exchange (IDX),JK,10 min,ICE Data Services,ID,2023-05-01
47,Ireland,Euronext Dublin,IR,15 min,ICE Data Services,IE,2023-05-01
48,Israel,Tel Aviv Stock Exchange,TA,20 min,ICE Data Services,IL,2023-05-01
49,Italy,EuroTLX,TI,20 min,ICE Data Services,IT,2023-05-01
50,Italy,Italian Stock Exchange,MI,20 min,ICE Data Services,IT,2023-05-01
51,Japan,Nikkei Indices,,30 min,ICE Data Services,JP,2023-05-01
52,Japan,Tokyo Stock Exchange,T,20 min,ICE Data Services,JP,2023-05-01
53,Latvia,Nasdaq OMX Riga,RG,Real-time,ICE Data Services,LV,2023-05-01
54,Lithuania,Nasdaq OMX Vilnius,VS,Real-time,ICE Data Services,LT,2023-05-01
55,Malaysia,Malaysian Stock Exchange,KL,15 min,ICE Data Services,MY,2023-05-01
56,Mexico,Mexico Stock Exchange (BMV),MX,20 min,ICE Data Servicess,MX,2023-05-01
57,Netherlands,Euronext Amsterdam,AS,15 min,ICE Data Services,NL,2023-05-01
58,New Zealand,New Zealand Stock Exchange (NZX),NZ,20 min,ICE Data Services,NZ,2023-05-01
59,Norway,Oslo Stock Exchange,OL,15 min,ICE Data Services,NO,2023-05-01
60,Portugal,Euronext Lisbon,LS,15 min,ICE Data Services,PT,2023-05-01
61,Qatar,Qatar Stock Exchange,QA,15 min,ICE Data Services,QA,2023-05-01
62,Russia,Moscow Exchange (MOEX),ME,15 min,ICE Data Services,RU,2023-05-01
63,Singapore,Singapore Stock Exchange (SGX),SI,20 min,ICE Data Services,SG,2023-05-01
64,South Africa,Johannesburg Stock Exchange,JO,15 min,ICE Data Services,ZA,2023-05-01
65,South Korea,Korea Stock Exchange,KS,20 min,ICE Data Services,KR,2023-05-01
66,South Korea,KOSDAQ,KQ,20 min,ICE Data Services,KR,2023-05-01
67,Spain,Madrid SE C.A.T.S.,MC,15 min,ICE Data Services,ES,2023-05-01
68,Saudi Arabia,Saudi Stock Exchange (Tadawul),SAU,15 min,ICE Data Services,SA,2023-05-01
69,Sweden,Nasdaq OMX Stockholm,ST,Real-time,ICE Data Services,SE,2023-05-01
70,Switzerland,Swiss Exchange (SIX),SW,30 min,ICE Data Services,CH,2023-05-01
71,Taiwan,Taiwan OTC Exchange,TWO,20 min,ICE Data Services,TW,2023-05-01
72,Taiwan,Taiwan Stock Exchange (TWSE),TW,20 min,ICE Data Services,TW,2023-05-01
73,Thailand,Stock Exchange of Thailand (SET),BK,15 min,ICE Data Services,TH,2023-05-01
74,Turkey,Borsa Ä°stanbul,IS,15 min,ICE Data Services,TR,2023-05-01
75,United Kingdom,FTSE Indices,,15 min,ICE Data Services,GB,2023-05-01
76,United Kingdom,London Stock Exchange,L,20 min,ICE Data Services,GB,2023-05-01
77,United Kingdom,London Stock Exchange,IL,20 min,ICE Data Services,GB,2023-05-01
78,Venezuela,Caracas Stock Exchange,CR,15 min,ICE Data Services,VE,2023-05-01
